scope,run,selector,spearman,pearson,dense_best_rank,k,contains_dense_best,dense_topk_overlap,dense_regret
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,16,False,5,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_mean_lift,0.07151685611169337,0.03172877450710859,33,32,False,16,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,4,False,1,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,8,False,3,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,16,False,7,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_min_lift,0.1811329364343035,0.16326559546193128,26,32,True,19,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,1,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,4,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,8,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,16,False,4,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,valid_max_lift,-0.04775106211188741,-0.11507152645919216,34,32,False,17,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,4,False,2,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,8,False,3,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,16,False,5,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,low_spread_valid_mean,0.21681900578430843,0.20336918828933137,28,32,True,19,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,1,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,2,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,4,False,1,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,8,False,3,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,16,False,6,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,default_minus_instability,0.2184436370228412,0.2096075327234598,26,32,True,18,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,1,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,2,False,0,0.03125
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,4,False,0,0.015625
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,8,False,2,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,16,False,4,0.0
per_run,qproj_c2_vllm_shortlist_p64_seed20260508,mean_minus_malformed,0.007894653033059649,-0.004893905009556213,29,32,True,16,0.0
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,1,False,0,0.046875
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,2,False,0,0.015625
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,4,False,2,0.015625
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,8,False,3,0.015625
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,16,False,5,0.015625
heldout_fold,qproj_c2_vllm_shortlist_p64,chosen_fixed:default_exact,0.14011707077047156,0.13636180690012648,64,32,False,20,0.015625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,1,False,0,0.0625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,2,False,0,0.0625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,4,False,0,0.0625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,8,False,0,0.0625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,16,False,0,0.0625
heldout_fold,qproj_c2_vllm_shortlist_p64,linear_calibrated,-0.3567590089948336,-0.29586986263328124,28,32,True,10,0.0
heldout_fold,qproj_c2_vllm_shortlist_p64_seed20260508,chosen_fixed:valid_min_lift,0.1811329364343035,0.16326559546193128,26,1,False,0,0.015625
