suite,run,population,screen_prompts,n,best_screen_exact,base_screen_exact,delta_vs_base,best_candidate
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,122,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,123,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,124,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,125,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,126,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,127,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,128,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,129,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,130,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,131,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,132,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,133,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,134,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,135,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,136,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,137,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,138,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,139,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,140,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,141,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,142,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,143,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,144,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,145,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,146,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,147,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,148,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,149,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,150,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,151,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
optimus_gpu_suite_v092_noflash_tp4,search_p1024_chunk8,1024,64,152,0.15625,0.0,0.15625,isotropic:seed459446302:s0.0075:sign-1
