actual_sha256,adapter,candidate,check,expected_sha256,module,note,pass,tensor,trusted
,,factor_gaussian_lora,summary.family,,,,True,,factor_gaussian_lora
,,16,summary.population,,,,True,,16
,,8,summary.rank,,,,True,,8
,,0.0075,summary.sigma,,,,True,,0.0075
,,"q_proj,v_proj",summary.targets,,,,True,,"q_proj,v_proj"
,,16,summary.screen_prompts,,,,True,,16
,,32,summary.max_new_tokens,,,,True,,32
,,True,summary.stop_at_answer,,,,True,,True
,,True,summary.antithetic,,,,True,,True
,,,trusted.screen_holdout_overlap_zero,,,,True,,0
,,,candidate.screen_holdout_overlap_zero,,,,True,,0
,,,peft.base_screen_rows_present,,,,True,,results/backend_parity_gate_p16/peft/per_prompt.jsonl
,,,peft.base_holdout_rows_present,,,,True,,results/backend_parity_gate_p16/peft/holdout_per_prompt.jsonl
,,,vllm.base_screen_rows_present,,,,True,,results/backend_parity_gate_p16/vllm/per_prompt.jsonl
,,,vllm.base_holdout_rows_present,,,,True,,results/backend_parity_gate_p16/vllm/holdout_per_prompt.jsonl
525d0ae1ee7bc1400c3c6a7cb82b1feaaee4fd9f4c67246eabef8e619be1e102,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,5ae6885bbfa3315e385618c36c833658ce747d499474c5ee692603e0b7aef503,model.layers.0.self_attn.q_proj,,False,lora_A,
47bca2b305b7a9f9bb6931ec31664ba849c4d65c0e1007080b9ac101143fe59b,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,66022f5081d15bee9b06e26de46586abcd025a386126de33e4b6e43c18745dd8,model.layers.0.self_attn.q_proj,,False,lora_B,
c4d41a8cc8542c212408e65c42b5b33e1aa7327a8ed9d2b4a7f6639113fce9a5,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,52e63f1ecb7d463bce4a685de857cef7f406064b6a8a9c941a107b934bac31de,model.layers.0.self_attn.v_proj,,False,lora_A,
4e96ce35b9508f42e0a9be28d1c6ed81f89a198f9d31f40743224dc865fbb94d,randopt_seed1019282515_s0.0075_pos,factor_gaussian_lora:seed1019282515:s0.0075:sign1,,2c5622c2b3e606fe57508ad20f649b50a7514b5b81c5e34799a6e916fc5fcb48,model.layers.0.self_attn.v_proj,,False,lora_B,
